Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2016,Marc R. and Lynne Benioff,California,Technology,Hamilton Families (San Francisco),California,Human and social services,GiftChallenge,"$10,000,000 "
2016,Anonymous,,,High Point U. (N.C.),North Carolina,Colleges and universities,,"$10,000,000 "
2016,Mendelson family,,,Columbia U. (New York),New York,Colleges and universities,,"$10,000,000 "
2016,Miller family,Florida,Construction,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,Gift,"$10,000,000 "
2016,Jorge M. Pérez,Florida,Real estate,Pérez Art Museum Miami,Florida,Arts,Pledge,"$10,000,000 "
2016,Leon G. and Toby Cooperman,Florida,Finance,"Jewish Federation of South Palm Beach County (Boca Raton, Fla.)",Florida,Jewish federations,Gift,"$10,000,000 "
2016,George Soros,New York,"Finance, Investments",Open Society Institute (New York),New York,Public affairs,Pledge,"$10,000,000 "
2016,Laura Barton,,Media and entertainment,U. of Denver,Colorado,Colleges and universities,,"$10,000,000 "
2016,Steven A. and Alexandra M. Cohen Foundation (Steven A. and Alexandra M. Cohen),Connecticut,Finance,Johns Hopkins Lyme Disease Research Center (Baltimore),Maryland,Health,Gift,"$10,000,000 "
2016,J. Michael and Elizabeth Kalperis Chu,,Finance,"Bates College (Lewiston, Me.)",Maine,Colleges and universities,,"$10,000,000 "
2016,Bill and Linda Stavropoulos Family Foundation (Bill and Linda Stavropoulos),Michigan,Chemicals,"U. of Notre Dame, College of Science (South Bend, Ind.)",Indiana,Science,Gift,"$10,000,000 "
2016,Richard M. Schulze Family Foundation (Richard M. Schulze),Minnesota,Retail,American Cancer Society (Atlanta),Georgia,Health,GiftChallenge,"$10,000,000 "
2016,Benjamin Ferencz,,Law,United States Holocaust Memorial Museum (Washington),District of Columbia,Museums and libraries,Pledge,"$10,000,000 "
2016,Glenn Hutchins,New York,"Finance, Technology","Harvard U., Hutchins Center for African and African-American Research (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$10,000,000 "
2016,Andrew and Jane Bursky,,Finance,Washington U. School of Medicine in St. Louis,Missouri,Colleges and universities,,"$10,000,000 "
2016,Floyd and Delores Jones Foundation (Floyd Jones),Washington,Investments,Stanwood-Camano YMCA (Wash.),Washington,Sports and recreation,Gift,"$10,000,000 "
2016,Frank Joseph Fertitta III and Lorenzo Fertitta,Nevada,"Casinos, Professional Sports",U. of Nevada at Las Vegas Foundation,Nevada,Colleges and universities,Gift,"$10,000,000 "
2016,Anonymous,,,Harvard School of Public Health (Boston),Massachusetts,Colleges and universities,Gift,"$10,000,000 "
2016,Don Jacobs Sr. Charitable Foundation (Don L. and Cathy Jacobs),Kentucky,"Investments, Retail",U. of Kentucky (Lexington),Kentucky,Colleges and universities,Gift,"$10,000,000 "
2016,Anonymous,,,U. of Missouri at Columbia,Missouri,Colleges and universities,Gift,"$10,000,000 "
2016,Don Jacobs Sr. Charitable Foundation (Don L. Jacobs),Kentucky,"Investments, Retail",U. of Kentucky (Lexington),Kentucky,Colleges and universities,Bequest,"$10,000,000 "
2016,Regenstein Foundation (Susan Regenstein),Illinois,Family wealth,Rehabilitation Institution of Chicago,Illinois,Human and social services,Gift,"$10,000,000 "
2016,Blavatnik Family Foundation (Len Blavatnik),New York,"Chemicals, Media and entertainment, Real estate, Telecommunications","Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,Gift,"$10,000,000 "
2016,H.B. (Woody) Bartlett,Alabama,Agriculture,"Auburn U., College of Veterinary Medicine (Ala.)",Alabama,Colleges and universities,Pledge,"$10,000,000 "
2016,Bruce and Elisabeth Percelay,Massachusetts,Real estate,Nantucket Cottage Hospital (Mass.),Massachusetts,Health,,"$10,000,000 "
2016,Juanita Schmeeckle,Minnesota,Manufacturing,Southern Minnesota Initiative Foundation (Owatonna),Minnesota,Community foundations,Bequest,"$10,000,000 "
2016,J.T. & Margaret Talkington Charitable Foundation (Margaret Talkington),Texas,Retail,Texas Tech University System (Lubbock),Texas,Colleges and universities,Bequest,"$10,000,000 "
2016,William Shepard,Illinois,Investments,Jump Trading Simulation & Education Center,Illinois,Health,Gift,"$10,000,000 "
2016,Evan Goldberg,California,Technology,BRCA Foundation (San Francisco),California,Health,Gift,"$10,000,000 "
2016,Anonymous,,,U. of Wisconsin at Madison,Wisconsin,Colleges and universities,ChallengeGift,"$10,000,000 "
2016,Joseph Clayes III Charitable Trust (Joseph A.W. Clayes III),California,"Agriculture, Real estate",Rady Children's Hospital-San Diego,California,Health,Bequest,"$10,000,000 "
2016,Ken Olivier and Angela Nomellini,California,Finance,Stanford U. (Calif.),California,Colleges and universities,Gift,"$10,000,000 "
2016,John and Serena Liew,,Finance,U. of Chicago,Illinois,Colleges and universities,,"$10,000,000 "
2016,Albert Lepage Foundation (Albert Lepage),,Food and beverage,Hebron Academy (Me.),Maine,Education,,"$10,000,000 "
2016,Charles and Gwendolyn Lillis,Colorado,"Investments, Telecommunications",U. of Oregon (Eugene),Oregon,Colleges and universities,,"$10,000,000 "
2016,Albert Lepage,,Food and beverage,Villanova U. (Pa.),Pennsylvania,Colleges and universities,,"$10,000,000 "
2016,Pogue Family Foundation (Mack and Jean Pogue),Texas,Real estate,Children's Medical Center Foundation (Dallas),Texas,Health,Gift,"$10,000,000 "
2016,Richard M. and Helen DeVos,Florida,Retail,Michigan State U. (East Lansing),Michigan,Colleges and universities,,"$10,000,000 "
2016,Stephen R. and Susan K. Wilson,,Manufacturing,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,,"$10,000,000 "
2016,Harris Family Foundation (King and Caryn Harris),Illinois,"Finance, Investments",Rehabilitation Institution of Chicago,Illinois,Health,Gift,"$10,000,000 "
2016,Samueli Foundation (Henry and Susan Samueli),California,"Technology, Telecommunications",U. of California at Los Angeles,California,Colleges and universities,GiftChallenge,"$10,000,000 "
2016,John W. Madden,Colorado,Real estate,U. of Denver,Colorado,Colleges and universities,GiftNoncash,"$10,000,000 "
2016,John and Carolyn Sonnentag,Florida,Manufacturing,Mayo Clinic in Jacksonville (Fla.),Florida,Health,,"$10,000,000 "
2016,Heider family,Nebraska,"Family wealth, Investments",Creighton Preparatory School (Omaha),Nebraska,Education,,"$10,000,000 "
2016,Joseph Hernandez,New York,Biotechnology,U. of Florida (Gainesville),Florida,Colleges and universities,,"$10,000,000 "
2016,Anthony LaFetra,California,Manufacturing,U. of La Verne (Calif.),California,Colleges and universities,,"$10,000,000 "
2016,Benjamin and Susan Winter,New York,Real estate,"Franklin & Marshall College (Lancaster, Pa.)",Pennsylvania,Colleges and universities,,"$10,000,000 "
2016,Joe F. Sanderson Jr. and Kathy Sanderson,Mississippi,Food and beverage,Children's of Mississippi (Jackson),Mississippi,Health,Pledge,"$10,000,000 "
2016,Dwight C. and Martha Schar,Virginia,"Construction, Finance","George Mason U. (Fairfax, Va.)",Virginia,Colleges and universities,Pledge,"$10,000,000 "
2016,Edward H. and Jeannie D. Arnold,Pennsylvania,Transportation,"Lebanon Valley College (Annville, Pa.)",Pennsylvania,Colleges and universities,,"$10,000,000 "
2016,Arthur and Carlyse Ciocca Charitable Foundation (Arthur and Carlyse Ciocca),,Food and beverage,Catholic U. of America (Washington),District of Columbia,Colleges and universities,,"$10,000,000 "
2016,Jerome Chazen,New York,"Finance, Retail",Columbia Business School (New York),New York,Colleges and universities,,"$10,000,000 "
2016,Elizabeth Grass Weese and Roger Grass,,Family wealth,Johns Hopkins U. (Baltimore),Maryland,Colleges and universities,,"$10,000,000 "
2016,Philip H. and Penelope Knight,Oregon,Manufacturing,"Fanconi Anemia Research Fund (Eugene, Ore.)",Oregon,Medical research,Pledge,"$10,000,000 "
2016,Eric Gleacher,,Finance,U. of Chicago Booth School of Business,,Colleges and universities,,"$10,000,000 "
2016,Mary (Mickey) Welch,,Oil,West Virginia U. (Morgantown),West Virginia,Colleges and universities,Pledge,"$10,000,000 "
2016,Mary Bucksbaum and Patrick Scanlan,,,U. of Iowa Foundation (Iowa City),Iowa,Colleges and universities,,"$10,000,000 "
2016,Daniel W. Dietrich II,Pennsylvania,Family wealth,Philadelphia Museum of Art,Pennsylvania,Arts,Bequest,"$10,000,000 "
2016,Anonymous,,,"DePauw U. (Greencastle, Ind.)",Indiana,Colleges and universities,,"$10,000,000 "
2016,Jay H. and Patty Baker,Florida,Retail,"Gulfshore Playhouse (Naples, Fla.)",Florida,Arts,Matching,"$10,000,000 "
2016,Tim and Mary Boyle,Oregon,Finance,U. of Oregon (Eugene),Oregon,Colleges and universities,,"$10,000,000 "
2016,Norman and Irma Braman,Florida,"Retail, Transportation",Georgetown U. (Washington),District of Columbia,Colleges and universities,,"$10,000,000 "
2016,J.B. Hunt family,,Transportation,"The New School (Fayetteville, Ark.)",Arkansas,Education,Pledge,"$10,000,000 "
2016,David and Barbara Roux,Virginia,"Investments, Technology","Bowdoin College (Brunswick, Me.)",Maine,Colleges and universities,,"$10,000,000 "
2016,Anonymous,,,California Baptist U. (Riverside),California,Colleges and universities,,"$10,000,000 "
2016,McNulty Foundation (Anne McNulty),,Finance,"U. of Pennsylvania, Wharton School (Philadelphia)",Pennsylvania,Colleges and universities,,"$10,000,000 "
2016,David M. Rubenstein,Maryland,Finance,"Smithsonian Institution, National Museum of African American History and Culture (Washington)",District of Columbia,Museums and libraries,,"$10,000,000 "
2016,Donna Morris,Washington,,"Peninsula College Foundation (Port Angeles, Wash.)",Washington,Colleges and universities,Bequest,"$9,000,000 "
2016,Michael and Linda Mussallem,District of Columbia,Health products,"Rose-Hulman Institute of Technology (Terre Haute, Ind.)",Indiana,Colleges and universities,,"$9,000,000 "
2016,Curt and Nancy Richardson,,"Investments, Technology",Colorado State U. (Fort Collins),Colorado,Colleges and universities,Pledge,"$8,100,000 "
2016,Anonymous,,,"Seton Hall U. (South Orange, N.J.)",New Jersey,Colleges and universities,Pledge,"$8,000,000 "
2016,Anonymous,,,U. of Missouri at Columbia,Missouri,Colleges and universities,,"$8,000,000 "
2016,Reza Kargarzadeh,,Manufacturing,Des Moines Area Community Center,Iowa,Colleges and universities,Noncash,"$8,000,000 "
2016,Edward Robson,,Construction,Colorado College (Colorado Springs),Colorado,Colleges and universities,,"$8,000,000 "
2016,Anonymous,,,Kansas State U. (Manhattan),Kansas,Colleges and universities,Pledge,"$8,000,000 "
2016,Mike and Tana Powell,California,Pharmaceuticals,Washington U. in St. Louis,Missouri,Colleges and universities,PledgeMatching,"$8,000,000 "
2016,Gianforte Family Foundation (Greg and Susan Gianforte),Montana,Technology,Montana State U. (Bozeman),Montana,Colleges and universities,Pledge,"$8,000,000 "
2016,Donald and Donna Baumgartner,Wisconsin,Manufacturing,Milwaukee Art Museum,Wisconsin,Arts,,"$8,000,000 "
2016,Anonymous,,,Tallahassee Community College (Fla.),Florida,Colleges and universities,Pledge,"$7,900,000 "
2016,Laura Maud Battle and Emerson Clarence Winstead,,Education,"Randolph College (Lynchburg, Va.)",Virginia,Colleges and universities,Bequest,"$7,820,000 "
2016,Emerson Clarence Winstead,,Education,"Barton College (Wilson, N.C.)",North Carolina,Colleges and universities,Bequest,"$7,800,000 "
2016,Milton and Judi Stewart,,Law,Indiana U. at Bloomington,Indiana,Colleges and universities,Pledge,"$7,700,000 "
2016,Powell Family Foundation (Powell family),Missouri,Transportation,"Powell Gardens (Kansas City, Mo.)",Missouri,Other groups,PledgeMatching,"$7,500,000 "
2016,Laura and John Arnold Foundation (John and Laura Arnold),Texas,"Energy, Finance","Center for Open Science (Charlottesville, Va.)",Virginia,Science,Gift,"$7,500,000 "
2016,Kinder Foundation (Richard and Nancy Kinder),Texas,Energy,High School for the Performing and Visual Arts (Houston),Texas,Education,Gift,"$7,500,000 "
2016,Kinder Foundation (Richard and Nancy Kinder),Texas,Energy,Houston Independent School District,Texas,Education,,"$7,500,000 "
2016,B. Thomas Golisano,New York,Investments,"Nazareth College (Rochester, N.Y.)",New York,Colleges and universities,,"$7,500,000 "
2016,Anonymous,,,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,Bequest,"$7,500,000 "
2016,Otis Booth Foundation (Franklin Otis Booth Jr.),California,"Family wealth, Investments, Real estate",U. of Southern California (Los Angeles),California,Colleges and universities,Gift,"$7,500,000 "
2016,Rubin family,New York,Media and entertainment,"Community Foundation for the Greater Capital Region (Albany, N.Y.)",New York,Health,Gift,"$7,250,000 "
2016,Charles E. and Viola Bardsley,,Chemicals,Mississippi State U.,Mississippi,Colleges and universities,Bequest,"$7,200,000 "
2016,Adele Smithers,California,"Family wealth, Finance",Columbia U. Medical Center (New York),New York,Health,Gift,"$7,100,000 "
2016,William and Patricia Chin,,Health care,California State U. at Los Angeles,California,Colleges and universities,,"$7,000,000 "
2016,Helen and Will Webster Foundation (Alec and Claudia Webster),,Engineering,U. of California at Santa Cruz,California,Colleges and universities,,"$7,000,000 "
2016,Gary Petersen,,,Texas Tech University System (Lubbock),Texas,Colleges and universities,,"$7,000,000 "
2016,Lemuel Scarbrough Jr.,Texas,,"Austin College (Sherman, Tex.)",Texas,Colleges and universities,Bequest,"$7,000,000 "
2016,Phil Smith,Florida,Retail,"Holy Cross Hospital (Fort Lauderdale, Fla.)",Florida,Health,GiftChallenge,"$7,000,000 "
2016,Henry B. and Patricia Tippie,Texas,"Agriculture, Entertainment, Investments","Allegheny College (Meadville, Pa.)",Pennsylvania,Colleges and universities,Gift,"$7,000,000 "
2016,Walter Schirmer,Michigan,"Family wealth, Manufacturing",Michigan Gateway Community Foundation (Buchanan),Michigan,Community foundations,Bequest,"$7,000,000 "
2016,Nicholas and Louella Martin,Texas,,Texas Wesleyan U. (Fort Worth),Texas,Colleges and universities,Gift,"$7,000,000 "
2016,Frank Baker and Laura Day,New York,Finance,U. of Chicago,Illinois,Colleges and universities,,"$7,000,000 "
2016,Allyn C. and Cheryl Ramberg Ford,Oregon,Manufacturing,U. of Oregon (Eugene),Oregon,Colleges and universities,,"$7,000,000 "
2016,F. Joseph and Joan Halcomb,,Health products,U. of Kentucky College of Engineering (Lexington),Kentucky,Colleges and universities,,"$7,000,000 "
2016,Henry Arnhold,New York,"Family wealth, Finance","The New School (Fayetteville, Ark.)",Arkansas,Colleges and universities,,"$7,000,000 "
2016,Beyoncé Knowles-Carter,New York,Entertainment,Knowles-Temenos Place Apartments (Houston),Texas,Human and social services,Gift,"$7,000,000 "
2016,Anonymous,,,Greenwich Historical Society (Conn.),Connecticut,Historic preservation,ChallengeGift,"$6,750,000 "
2016,Wade F.B. Thompson,Ohio,Manufacturing,Mystic Seaport (Conn.),Connecticut,Museums and libraries,Bequest,"$6,600,000 "
2016,Mary Wennerstrom and Leonard Phillips,,Education,Indiana U. at Bloomington,Indiana,Colleges and universities,Pledge,"$6,500,000 "
2016,Gary and Mary West Foundation (Gary and Mary West),Nebraska,Telecommunications,U. of California at San Diego,California,Colleges and universities,,"$6,300,000 "
2016,Ellen Stofan and Timothy Dunn,,,"College of William & Mary (Williamsburg, Va.)",Virginia,Colleges and universities,,"$6,300,000 "
2016,Bender Foundation (Howard and Sondra Bender),Maryland,"Agriculture, Construction, Real estate","Jewish Community Center of Greater Washington (Rockville, Md.)",Maryland,Religious groups,Gift,"$6,250,000 "
2016,David Shapiro,New York,Media and entertainment,Fort Wayne Museum of Art (Ind.),Indiana,Arts,NoncashBequest,"$6,200,000 "
2016,Anne Cox Chambers,Georgia,Media and entertainment,Woodruff Arts Center (Atlanta),Georgia,Arts,Gift,"$6,100,000 "
2016,Anonymous,,,Henry Ford Health System (Detroit),Michigan,Health,Gift,"$6,000,000 "
2016,Rennard Strickland,Oklahoma,Law,Arizona State U. Art Museum (Tempe),Arizona,Arts,NoncashGift,"$6,000,000 "
2016,Ralph C. Wilson Jr. Foundation (Ralph C. Wilson Jr.),Michigan,Professional Sports,"Albright-Knox Art Gallery (Buffalo, N.Y.)",New York,Arts,Gift,"$6,000,000 "
2016,Yechiel Eckstein,Illinois,Family wealth,Friends of the Israel Defense Forces (New York),New York,Religious groups,Gift,"$6,000,000 "
2016,Eskind family,Tennessee,,Vanderbilt U. School of Medicine (Nashville),Tennessee,Colleges and universities,,"$6,000,000 "
2016,Roger and Francine Jean,,Insurance,"Saint Anselm College (Manchester, N.H.)",New Hampshire,Colleges and universities,,"$6,000,000 "
2016,Lindner family,Ohio,"Finance, Food and beverage, Investments",U. of Cincinnati Lindner College of Business,Ohio,Colleges and universities,,"$6,000,000 "
2016,Amy Dundon-Berchtold,California,"Finance, Real estate",U. of Southern California (Los Angeles),California,Colleges and universities,,"$6,000,000 "
2016,Rick and Mary Lee Bastin,Florida,Retail,"Citadel (Charleston, S.C.)",South Carolina,Colleges and universities,Gift,"$6,000,000 "
2016,Ralph Collins Walter,California,Finance,Indiana U. at Bloomington,Indiana,Colleges and universities,Gift,"$6,000,000 "
2016,Daniel W. Dietrich II,Pennsylvania,Family wealth,"Hamilton College (Clinton, N.Y.)",New York,Colleges and universities,Bequest,"$6,000,000 "
2016,Elaine LaMontagne,,Government,U. of Texas at Austin,Texas,Colleges and universities,,"$6,000,000 "
2016,Virginia Andes,,Technology,"Charlotte Community Foundation (Punta Gorda, Fla.)",Florida,Community foundations,Bequest,"$6,000,000 "
2016,Jay Graham,,Oil,Texas A&M U. (College Station),Texas,Colleges and universities,,"$6,000,000 "
2016,Anthony Bahr,,Oil,Texas A&M U. (College Station),Texas,Colleges and universities,,"$6,000,000 "
2016,Timothy and Mary Barnard,Montana,Construction,Montana State U. (Bozeman),Montana,Colleges and universities,Pledge,"$6,000,000 "
2016,Anonymous,,,"Martin Methodist College (Pulaski, Tenn.)",Tennessee,Colleges and universities,Gift,"$6,000,000 "
2016,Macon F. Brock Jr. and Joan Brock,Virginia,Retail,"Longwood U. (Farmville, Va.)",Virginia,Colleges and universities,,"$5,900,000 "
2016,Charles Cather,California,"Entertainment, Family wealth",U. of Nebraska at Lincoln,Nebraska,Colleges and universities,Bequest,"$5,800,000 "
2016,Anonymous,,,Colorado College (Colorado Springs),Colorado,Colleges and universities,,"$5,600,000 "
2016,Macon F. Brock Jr. and Joan Brock,Virginia,Retail,Virginia Wesleyan College (Norfolk),Virginia,Colleges and universities,Gift,"$5,500,000 "
2016,Kenneth C. Griffin Charitable Fund (Kenneth C. Griffin),Illinois,Finance,Field Museum (Chicago),Illinois,Arts,Gift,"$5,500,000 "
2016,Charles and Nan Strauch,,Technology,"Lehigh U. (Bethlehem, Pa.)",Pennsylvania,Colleges and universities,,"$5,500,000 "
2016,Anonymous,,,"Michigan State U., College of Engineering (East Lansing)",Michigan,Colleges and universities,Pledge,"$5,300,000 "
2016,Bill and Ruth Scott,Nebraska,Investments,"Great Plains Health Care Foundation (North Platte, Neb.)",Nebraska,Health,PledgeChallenge,"$5,000,000 "
2016,Alfred and Dorothy Suzi Osher Foundation (Alfred and Dorothy Suzi Osher),Maine,Health care,Jewish Community Alliance of Southern Maine (Portland),Maine,Religious groups,Gift,"$5,000,000 "
2016,Steve Wynn,Nevada,Casinos,U. of Iowa Foundation (Iowa City),Iowa,Health,Gift,"$5,000,000 "
2016,Pierre Omidyar,Hawaii,Technology,American Civil Liberties Union (New York),New York,Other groups,Gift,"$5,000,000 "
2016,Edgar and Lusette Smith,,Law,U. of Rochester (N.Y.),New York,Colleges and universities,,"$5,000,000 "
2016,Ralph and Trish Nagel,,Investments,Washington U. in St. Louis,Missouri,Colleges and universities,,"$5,000,000 "
2016,Anonymous,,,College of New Rochelle (N.Y.),New York,Colleges and universities,,"$5,000,000 "
2016,Arthur J. and Judith Dunlap,Florida,Manufacturing,Florida State U. (Tallahassee),Florida,Colleges and universities,,"$5,000,000 "
2016,Edie Laquer,Florida,Real estate,Miami Jewish Health Systems,Florida,Health,Gift,"$5,000,000 "
2016,Joanne Fisher and John W. Fisher III,Florida,"Family wealth, Real estate",Artis-Naples (Fla.),Florida,Arts,Gift,"$5,000,000 "
2016,Norman Powell,California,Oil,U. of California at Los Angeles Library,California,Museums and libraries,Gift,"$5,000,000 "
2016,Florence Fearrington,,Finance,U. of North Carolina at Chapel Hill,North Carolina,Colleges and universities,,"$5,000,000 "
2016,Dick and Jacqueline Grote,Texas,Consulting,U. of Texas Southwestern Medical Center at Dallas,Texas,Health,Pledge,"$5,000,000 "
2016,Leonard and Judy Lauder,New York,"Industry, Manufacturing",Portland Museum of Art (Me.),Maine,Arts,GiftChallenge,"$5,000,000 "
2016,Jack and Vianne Kucera,Arizona,Engineering,"U.S. Air Force Academy (USAF Academy, Colo.)",Colorado,Colleges and universities,Gift,"$5,000,000 "
2016,David and Sylvia Steiner,New Jersey,Real estate,"Yiddish Book Center (Amherst, Mass.)",Massachusetts,Museums and libraries,Gift,"$5,000,000 "
2016,Andy and Jane Albright,North Carolina,Marketing,North Carolina State U. (Raleigh),North Carolina,Colleges and universities,,"$5,000,000 "
2016,Fred and Karen Schaufeld,Virginia,Finance,"Inova Health System (Falls Church, Va.)",Virginia,Health,Gift,"$5,000,000 "
2016,Daniel and Carole Kamin,Pennsylvania,Real estate,Carnegie Museum of Natural History (Pittsburgh),Pennsylvania,Museums and libraries,Gift,"$5,000,000 "
2016,Kathleen Bonsignore Walgreen and Charles (Cork) Walgreen III,Illinois,"Family wealth, Retail","Our Lady of Mercy High School (Rochester, N.Y.)",New York,Education,Gift,"$5,000,000 "
2016,Judith Lipsey,New York,,"Richardson Olmsted Complex (Buffalo, N.Y.)",New York,Historic preservation,GiftChallenge,"$5,000,000 "
2016,Gavin and Ninetta Herbert,California,Pharmaceuticals,U. of California at Irvin (Irvine),California,Colleges and universities,Pledge,"$5,000,000 "
2016,Riedman Foundation (John Riedman),New York,Insurance,Rochester Regional Health (N.Y.),New York,Health,Gift,"$5,000,000 "
2016,Eijk and Rose-Marie van Otterloo,Massachusetts,Family wealth,"Museum of Fine Arts, Boston",Massachusetts,Arts,Gift,"$5,000,000 "
2016,Garnett (Pinky) Pampell,Texas,Family wealth,Houston Baptist U.,Texas,Colleges and universities,Gift,"$5,000,000 "
2016,Michael and Margaret Valentine,,Manufacturing,U. of Cincinnati,Ohio,Colleges and universities,,"$5,000,000 "
2016,Harvey E. Najim,Texas,Technology,ChildSafe (San Antonio),Texas,Human and social services,Gift,"$5,000,000 "
2016,Kapnick Foundation (Scott Kapnick),,Finance,"Northwestern U. Weinberg College of Arts and Sciences (Evanston, Ill.)",Illinois,Colleges and universities,,"$5,000,000 "
2016,Kemper Freeman Jr.,Washington,Real estate,"Tateuchi Center (Bellevue, Wash.)",Washington,Arts,GiftMatching,"$5,000,000 "
2016,Marcia Hubbard,Pennsylvania,"Family wealth, Pharmaceuticals",Lancaster Country Day School (Pa.),Pennsylvania,Education,Bequest,"$5,000,000 "
2016,Isaac and Helaine Heller,New Jersey,Real estate,Union for Reform Judaism (New York),New York,Jewish federations,Gift,"$5,000,000 "
2016,Timothy Johnson,Ohio,"Finance, Investments",U. of Cincinnati Lindner College of Business,Ohio,Colleges and universities,,"$5,000,000 "
2016,Edward and Cynthia Maletis,Oregon,"Food and beverage, Real estate",U. of Oregon (Eugene),Oregon,Colleges and universities,Gift,"$5,000,000 "
2016,Ronald D. and Valerie Sugar,California,Defense contracting,"U. of California at Los Angeles, Henry Samueli School of Engineering and Applied Science",California,Colleges and universities,,"$5,000,000 "
2016,Roberta Buffett and David Elliott,California,Family wealth,Oregon Shakespeare Festival (Ashland),Oregon,Arts,Gift,"$5,000,000 "
2016,David M. Rubenstein,Maryland,Finance,"American Academy of Arts and Sciences (Cambridge, Mass.)",Massachusetts,Other groups,Gift,"$5,000,000 "
2016,Robert and Janice McNair Foundation (Robert C. and Janice McNair),Texas,"Finance, Professional Sports",Houston Baptist U.,Texas,Colleges and universities,,"$5,000,000 "
2016,Robert Ackley,Florida,Government,Ohio U. Foundation (Athens),Ohio,Colleges and universities,Gift,"$5,000,000 "
2016,Donald T. and Joy Bollinger,Louisiana,Construction,Audubon Zoo (New Orleans),Louisiana,Zoos and aquariums,Gift,"$5,000,000 "
2016,Peter O. and Missy Crisp,California,Finance,Jupiter Medical Center Foundation (Fla.),Florida,Health,Gift,"$5,000,000 "
2016,Dan Gilbert,Ohio,"Finance, Professional Sports",Wayne State U. (Detroit),Michigan,Colleges and universities,Gift,"$5,000,000 "
2016,Stephen M. Ross,New York,"Professional Sports, Real estate",Wayne State U. (Detroit),Michigan,Colleges and universities,Gift,"$5,000,000 "
2016,Alice Lee Lund Charitable Trust (Alice Lee Lund),Ohio,Oil,"U. of Montana, College of Education and Human Sciences (Missoula)",Montana,Colleges and universities,Bequest,"$5,000,000 "
2016,Thomas and Diane Quinn,,,U. of Notre Dame (Ind.),Indiana,Colleges and universities,,"$5,000,000 "
2016,Phil and Susan Smith,,Retail,Florida Atlantic U. (Boca Raton),Florida,Colleges and universities,,"$5,000,000 "
2016,Anonymous,,,Carroll College (Mont.),Montana,Colleges and universities,Gift,"$5,000,000 "
2016,John and Sarah Lechleiter,Indiana,Pharmaceuticals,United Way of Central Indiana (Indianapolis),Indiana,Human and social services,Gift,"$5,000,000 "
2016,Michael Jordan,North Carolina,Professional Sports,"Smithsonian Institution, National Museum of African American History and Culture (Washington)",District of Columbia,Museums and libraries,Gift,"$5,000,000 "
2016,Christopher and Mamie Russo,Louisiana,Oil,U. of Louisiana at Lafayette,Louisiana,Colleges and universities,Gift,"$5,000,000 "
2016,Les and Pam Muma,Wisconsin,Technology,Junior Achievement of Tampa Bay (Fla.),Florida,Children and youths,Gift,"$5,000,000 "
2016,Gavin Herbert and Josephine Herbert Gleis,California,Pharmaceuticals,U. of California at Irvine,California,Colleges and universities,Pledge,"$5,000,000 "
2016,Hitt Family Foundation (Brett Hitt),Virginia,Construction,Virginia Tech (Blacksburg),Virginia,Colleges and universities,Gift,"$5,000,000 "
2016,Ron and Betty Profili,California,Real estate,Queen of the Valley Medical Center Foundation (Calif.),California,Health,Pledge,"$5,000,000 "
2016,Kenneth and Pamela Ricci,,Transportation,U. of Notre Dame (Ind.),Indiana,Colleges and universities,,"$5,000,000 "
2016,Anne McNulty,,Finance,Villanova U. (Pa.),Pennsylvania,Colleges and universities,Gift,"$5,000,000 "
2016,Stephen A. and Petra Levin,Florida,Food and beverage,"MorseLife Health System (West Palm Beach, Fla.)",Florida,Health,Gift,"$5,000,000 "
2016,John and Elaine Kanas Family Foundation (John and Elaine Kanas),,"Finance, Investments","Peconic Bay Medical Center (Riverhead, N.Y.)",New York,Health,,"$5,000,000 "
2016,Mezzalingua Family Foundation (John D. Mezzalingua),New York,Manufacturing,"Manlius Pebble School (DeWitt, N.Y.)",New York,Education,,"$5,000,000 "
2016,Donald Puglisi and Marichu Valencia,,"Education, Finance",U. of Delaware (Newark),Delaware,Colleges and universities,Pledge,"$5,000,000 "
2016,Neda Nobari,,Retail,San Francisco State U.,California,Colleges and universities,Gift,"$5,000,000 "
2016,Anonymous,,,U. of Alabama at Birmingham,Alabama,Colleges and universities,Gift,"$5,000,000 "
2016,George and Carol Bauer,Connecticut,Technology,Washington U. in St. Louis,Missouri,Colleges and universities,Pledge,"$5,000,000 "
2016,Kelben Foundation (Ted D. and Mary Kellner),Wisconsin,Investments,U. of Wisconsin at Milwaukee,Wisconsin,Colleges and universities,Gift,"$5,000,000 "
2016,Hal and Diane Brierley,Texas,Marketing,United Way of Metropolitan Dallas,Texas,Human and social services,Gift,"$5,000,000 "
2016,Caroline Rose Hunt,Texas,"Family wealth, Hotels",United Way of Metropolitan Dallas,Texas,Human and social services,Gift,"$5,000,000 "
2016,Alex Ewing,,Education,U. of North Carolina School of the Arts (Winston-Salem),North Carolina,Colleges and universities,Pledge,"$5,000,000 "
