,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
6669,100.0,766463,Pearl Buck Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15217,Eugene,nan,92333.0,1.91,Executive Director,288151.0,95.52,245124,6749795,Human Services : Social Services ,191813.0,96.83,0,3806448,OR,4125067
6670,90.0,247136,Peaceful Valley Donkey Rescue,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10710,San Angelo,nan,60630.0,2.27,Executive Director,215948.0,68.42,643196,1264758,Animals : Wildlife Conservation ,-1910.0,76.57,0,1769691,TX,2877881
6671,97.0,103654,Pearl S. Buck International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8089,Perkasie,nan,150334.0,7.17,"President, CEO",611809.0,79.31,196933,3181848,International : Development and Relief Services ,121703.0,85.21,0,1794584,PA,2477182
6672,74.0,111729,PAWS/LA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11963,Los Angeles,nan,92500.0,7.85,Executive Director,436745.0,84.92,51922,941532,"Animals : Animal Rights, Welfare, and Services ",39305.0,78.74,0,1013870,CA,1574961
6673,100.0,702850,Pediatric Brain Tumor Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8067,Asheville,nan,151139.0,2.78,"President, CEO",-44236.0,70.78,500616,1544493,Health : Medical Research ,-66414.0,79.33,0,4226619,NC,5452263
6674,96.0,404240,Paws With A Cause,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4307,Wayland,nan,110777.0,2.85,Chief Executive Officer,31746.0,92.61,300473,6091761,"Animals : Animal Rights, Welfare, and Services ",212686.0,94.05,0,3169723,MI,3693496
6675,96.0,593528,PCI Media Impact,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4978,New York,nan,180968.0,4.21,Chief Executive Officer,127916.0,92.5,191751,1532367,"International : International Peace, Security, and Affairs ",30475.0,93.98,0,3510798,NY,4393518
6676,96.0,81198,Peace Development Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4880,Amherst,nan,,,nan,405503.0,97.5,75988,1262901,"International : International Peace, Security, and Affairs , ",12751.0,96.66,0,2548065,MA,2954952
6677,100.0,761440,PAWS Chicago,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6151,Chicago,nan,93507.0,0.79,Chief Executive Officer,5653301.0,100.0,526584,40061643,"Animals : Animal Rights, Welfare, and Services ",354685.0,100.0,0,10446993,IL,14959514
6678,89.0,1336324,PBS Hawaii,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16013,Honolulu,nan,,,nan,11804512.0,85.7,930400,39923930,"Arts, Culture, Humanities : Public Broadcasting and Media ",124125.0,87.24,0,5437505,HI,19382475
6679,93.0,195609,PAWS (Progressive Animal Welfare Society),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5775,Lynnwood,nan,121993.0,2.82,CEO,10172965.0,87.95,813473,22415103,"Animals : Animal Rights, Welfare, and Services ",141405.0,90.14,0,3311570,WA,13639075
6680,66.0,506855,The Pav YMCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15273,Berwyn,nan,85280.0,3.12,"Executive Director, CEO",-121325.0,87.65,98632,2922743,Human Services : Multipurpose Human Service Organizations ,41089.0,74.42,49560,2121277,IL,1505615
