accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
100.00,"$1,936,396",Jewish Vocational Service of Boston,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13353, '\r\n\t\t\tBoston,,"$235,826",1.95%,"President, CEO","$590,710",87.88,"$693,180","$7,937,882",Human Services : Social Services ,"$208,010",91.42,$0,"$9,412,164",MA,"$10,598,304"
89.00,"$46,854",Jewish Tuition Organization,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14562, ' Scottsdale,,"$82,589",2.31%,Executive Director,"$281,083",85.00,"$116,950","$61,233",Education : Scholarship and Financial Support ,"$5,507",86.84,$0,"$3,402,093",AZ,"$3,841,473"
96.00,"$132,552",Jewish Nevada,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8839, '\r\n\t\t\tLas Vegas,,"$144,008",3.89%,"CEO, President","$1,510,462",90.00,"$371,185","$17,679,977","Community Development : Jewish Federations , ","$51,090",92.38,$0,"$3,197,068",NV,"$5,160,177"
96.00,"$7,253,947","Jewish National Fund, United States",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3948, '\r\n\t\t\tNew York,,"$435,011",0.65%,Chief Executive Officer,"$14,972,594",96.27,"$7,040,565","$326,652,366",Community Development : Housing and Neighborhood Development ,"$14,272,688",96.13,$0,"$51,845,757",NY,"$66,396,313"
85.00,"$3,675,273",The Jewish Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3947, '\r\n\t\t\tNew York,,"$371,838",1.92%,Helen Goldsmith Menschel Director,"$-8,067,335",78.97,"$3,396,879","$118,948,804","Arts, Culture, Humanities : Museums ","$823,369",81.73,$0,"$12,250,760",NY,"$9,047,739"
92.00,"$275,445",Jewish Free Loan Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11097, ' Los Angeles,,"$122,563",6.99%,CEO & Executive Director,"$168,801",77.50,"$306,074","$17,617,188",Community Development : Housing and Neighborhood Development ,"$119,882",83.11,$0,"$1,171,050",CA,"$1,801,488"
73.00,"$252,237",Jewish Foundation of Memphis,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14007, '\r\n\t\t\tMemphis,,,--\r\n                 ,"President, CEO","$33,807",97.50,"$155,542","$18,202,357","Community Development : Jewish Federations , ","$726,811",80.82,$0,"$4,453,756",TN,"$4,168,531"
92.00,"$1,323,034",Jewish Foundation for Group Homes,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5424, '\r\n\t\t\tRockville,,"$218,692",1.70%,Chief Executive Officer,"$-742,977",90.72,"$301,048","$21,097,622",Human Services : Social Services ,"$118,759",91.33,$0,"$11,185,180",MD,"$2,115,714"
93.00,"$568,840",Kentucky Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5599, '\r\n\t\t\tLouisville,,"$132,215",2.21%,"President, CEO","$-380,872",86.25,"$638,058","$11,311,575","Animals : Animal Rights, Welfare, and Services ","$268,389",89.08,$0,"$4,765,464",KY,"$2,226,328"
81.00,"$201,263",Jewish Federation of Tulsa,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13547, '\r\n\t\t\tTulsa,,"$120,200",3.29%,Executive Director,"$80,393",90.67,"$124,971","$25,019,063","Community Development : Jewish Federations , ","$841,877",85.03,$0,"$3,318,656",OK,"$2,289,252"
