accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
100.00,"$171,245",Together We Cope,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13021, '\r\n\t\t\tTinley Park,,"$71,780",2.16%,Executive Director,"$-28,795",85.38,"$61,599","$1,159,885",Human Services : Social Services ,"$133,747",89.66,$0,"$3,079,267",IL,"$3,149,569"
85.00,"$93,539",Together Colorado,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14401, '\r\n\t\t\tDenver,,"$104,359",7.46%,Executive Director,"$-7,862",87.50,"$93,536","$1,272,802",Community Development : Housing and Neighborhood Development ,"$17,811",86.19,$0,"$1,210,378",CO,"$1,305,012"
89.00,"$165,753",Together Omaha,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15796, '\r\n\t\t\tOmaha,,"$91,816",3.91%,Executive Director,"$244,072",99.97,"$178,875","$3,351,241",Human Services : Homeless Services ,"$8,831",92.22,$0,"$1,999,172",NE,"$2,579,041"
89.00,"$175,894",Tobin Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15668, ' Cambridge,,"$124,212",9.68%,Director Of Operations,"$-159,447",94.16,"$20,877","$3,514,844",Research and Public Policy : Social and Public Policy Research ,"$6,677",91.19,$0,"$1,085,372",MA,"$1,116,019"
81.00,"$85,449",Toby Keith Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15675, '\r\n\t\t\tOklahoma City,,"$100,000",7.01%,Executive Director,"$171,356",91.32,"$65,979","$4,584,525",Health : Patient and Family Support ,"$-133,286",85.22,$0,"$1,274,858",OK,"$1,730,928"
92.00,"$827,198",Tisch MS Research Center of New York,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17170, ' New York,,,--\r\n                 ,"Director, Chief Research Scientist","$4,746,020",83.85,"$485,632","$5,699,856",Health : Medical Research ,"$-11,515",87.25,$0,"$5,245,946",NY,"$11,316,311"
89.00,"$517,394",TIRR Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12325, ' Houston,,"$196,000",4.44%,Executive Director,"$136,427",87.94,"$293,918","$17,439,141","Health : Medical Research , ","$700,030",88.45,$0,"$3,600,892",TX,"$3,846,126"
89.00,"$2,008,871",Tipping Point Community,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17590, ' San Francisco,,"$82,019",0.28%,"CEO, Founder","$-1,167,158",97.07,"$3,410,664","$27,241,995","Human Services : Social Services , ","$-2,051,944",91.95,$0,"$22,898,392",CA,"$29,202,713"
89.00,"$619,063",Timken Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17071, ' San Diego,,"$88,697",4.17%,Executive Director,"$423,980",68.95,"$457,202","$35,456,929","Arts, Culture, Humanities : Museums ","$725,559",76.70,$0,"$1,046,003",CA,"$1,763,034"
100.00,"$412,904",Timmy Global Health,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11096, '\r\n\t\t\tIndianapolis,,,--\r\n                 ,Interim Executive Director,"$-41,549",80.47,"$154,681","$1,194,503",International : Development and Relief Services ,"$83,449",86.19,$0,"$3,341,772",IN,"$2,682,520"
96.00,"$297,482",Time of Grace Ministry,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14109, '\r\n\t\t\tMilwaukee,,"$42,757",0.99%,"President, CEO","$-347,705",78.82,"$409,127","$74,894",Religion : Religious Media and Broadcasting ,"$8,484",84.75,$0,"$3,610,190",WI,"$3,960,610"
85.00,"$1,699,522",Tigers Unlimited Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13761, '\r\n\t\t\tAuburn,,,--\r\n                 ,Executive Director,"$4,144,231",90.00,"$2,887,863","$50,603,677",Human Services : Multipurpose Human Service Organizations ,"$1,689,547",87.25,$0,"$32,955,883",AL,"$39,903,709"
89.00,"$342,387",Timber Bay,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15237, '\r\n\t\t\tMedina,,None reported\r\n                 ,--\r\n                 ,President,"$61,733",94.29,"$98,759","$2,172,094","Human Services : Youth Development, Shelter, and Crisis Services ","$56,156",91.23,$0,"$2,481,543",MN,"$2,632,429"
59.00,"$251,034",Tiger Missing Link Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8400, '\r\n\t\t\tTyler,,"$182,286",4.64%,Chief Executive Officer,"$-89,745",57.50,"$1,719,618","$932,717",Animals : Wildlife Conservation ,"$34,261",58.24,$0,"$1,950,000",TX,"$3,471,480"
62.00,"$467,095",Tipitina's Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11888, '\r\n\t\t\tNew Orleans,,None reported\r\n                 ,--\r\n                 ,,"$-272,145",70.39,"$55,570","$344,749","Arts, Culture, Humanities : Performing Arts ",$677,65.93,$0,"$1,000,769",LA,"$1,245,586"
85.00,"$119,829",Tiger Haven,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7650, '\r\n\t\t\tKingston,,"$39,000",1.60%,President & Manager,"$8,760",78.22,"$543,085","$3,657,773",Animals : Wildlife Conservation ,"$62,662",81.30,$0,"$1,774,032",TN,"$2,383,044"
93.00,"$4,504,488",Tiger Athletic Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13737, '\r\n\t\t\tBaton Rouge,,"$291,748",0.69%,President and CEO,"$22,653,755",91.50,"$2,006,335","$196,028,074",Human Services : Multipurpose Human Service Organizations ,"$4,969,213",92.21,$0,"$35,549,385",LA,"$50,969,750"
62.00,"$225,424",Tibet House US,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10414, '\r\n\t\t\tNew York,,"$61,104",2.47%,Executive Director,"$146,759",86.50,"$292,750","$6,637,695","Arts, Culture, Humanities : Museums ","$796,949",71.48,$0,"$1,949,880",NY,"$1,162,391"
93.00,"$10,717,866",Tides Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4566, '\r\n\t\t\tSan Francisco,,,--\r\n                 ,Chief Executive Officer,"$5,440,397",88.85,"$5,362,737","$71,176,245",Community Development : Housing and Neighborhood Development ,"$406,250",90.69,$0,"$82,606,247",CA,"$90,488,342"
66.00,"$166,284",Thunderbird Lodge Preservation Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13776, '\r\n\t\t\tIncline Village,,None reported\r\n                 ,--\r\n                 ,,"$1,044,604",88.20,"$61,352","$9,551,079","Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ","$529,215",74.55,$0,"$1,083,323",NV,"$1,514,901"
96.00,"$449,703",The Tibet Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4565, '\r\n\t\t\tNew York,,"$86,626",1.41%,President,"$591,917",99.26,"$83,784","$6,736,047","International : Development and Relief Services , ","$-10,081",97.12,$0,"$5,581,258",NY,"$6,716,743"
100.00,"$3,184,237",Thurgood Marshall College Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7829, ' Washington,,"$730,000",4.07%,President & CEO,"$-387,502",91.70,"$642,487","$9,415,182",Education : Scholarship and Financial Support ,"$275,205",94.13,$0,"$14,066,049",DC,"$16,882,396"
100.00,"$1,638,032",Three Square,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13208, '\r\n\t\t\tLas Vegas,,"$244,977",0.31%,President,"$-1,738,221",97.50,"$2,895,309","$36,974,099","Human Services : Food Banks, Food Pantries, and Food Distribution ","$1,931,977",98.23,$0,"$74,033,563",NV,"$73,422,798"
100.00,"$163,767",Thousand Currents,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6372, ' Oakland,,"$103,461",4.38%,Executive Director,"$4,221,597",95.27,"$354,091","$4,738,798",International : Development and Relief Services ,"$6,487",96.65,$0,"$1,841,838",CA,"$6,487,521"
96.00,"$452,352",Thoroughbred Retirement Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8762, '\r\n\t\t\tSaratoga Springs,,None reported\r\n                 ,--\r\n                 ,,"$466,756",62.17,"$364,304","$7,540,227","Animals : Animal Rights, Welfare, and Services ","$539,616",73.10,$0,"$2,059,640",NY,"$2,803,436"
89.00,"$235,252",Thrive Counseling Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15268, '\r\n\t\t\tOak Park,,,--\r\n                 ,"President, Executive Director","$-354,580",87.50,"$154,203","$3,126,627","Health : Diseases, Disorders, and Disciplines ","$103,657",88.22,$0,"$1,797,256",IL,"$627,560"
100.00,"$341,117",Thrive St. Louis,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16086, '\r\n\t\t\tSt. Louis,,"$109,135",4.14%,"President, CEO","$-100,653",78.95,"$492,677","$1,222,129",Health : Treatment and Prevention Services ,"$-122,977",85.11,$0,"$1,800,263",MO,"$2,374,929"
88.00,"$884,364",Thompson Island Outward Bound Education Center (TIOBEC),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4562, '\r\n\t\t\tBoston,,"$178,120",2.60%,President,"$-198,402",95.38,"$630,379","$18,933,404","Education : Youth Education Programs and Services ,This rating represents consolidated financial data for these organizations:","$3,850,951",90.90,$0,"$5,332,031",MA,"$1,590,752"
100.00,"$2,673,649",Thompson Child & Family Focus,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7181, '\r\n\t\t\tMatthews,,"$155,409",0.94%,President,"$-4,521,489",78.31,"$864,944","$53,117,172",Human Services : Children's and Family Services ,"$343,941",84.66,$0,"$12,863,416",NC,"$2,405,720"
77.00,"$327,152",Thomas More Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16443, ' Chicago,,"$175,366",3.85%,President,"$187,595",71.44,"$1,495,249","$681,675",Human and Civil Rights : Advocacy and Education ,"$-5,405",74.07,$0,"$2,721,947",IL,"$4,737,348"
100.00,"$544,858",Thornwell Home for Children,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10084, '\r\n\t\t\tClinton,,"$149,403",2.17%,President,"$2,358,062",95.33,"$845,756","$45,972,633",Human Services : Children's and Family Services ,"$1,525,659",96.69,$0,"$5,487,879",SC,"$7,710,896"
93.00,"$5,015,842",Thomas Jefferson Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4561, '\r\n\t\t\tCharlottesville,,"$418,026",1.40%,President,"$-2,926,845",86.15,"$1,698,316","$267,624,312","Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ","$7,455,796",89.02,$0,"$22,959,469",VA,"$9,866,866"
77.00,"$323,851",Thistle Farms,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17297, '\r\n\t\t\tNashville,,"$16,667",0.58%,Executive Director,"$1,316,758",97.50,"$138,973","$4,524,756",Human Services : Social Services ,"$891,710",83.64,$0,"$2,370,576",TN,"$3,206,098"
82.00,"$1,104,241",Thru the Bible Radio Network,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4564, '\r\n\t\t\tPasadena,,"$155,178",0.75%,President,"$1,865,813",89.65,"$107,728","$57,575,221",Religion : Religious Media and Broadcasting ,"$2,300,604",85.31,$0,"$19,314,248",CA,"$20,091,426"
85.00,"$368,681",This Is The Place Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7361, '\r\n\t\t\tSalt Lake City,,,--\r\n                 ,Chairman,"$444,363",88.85,"$38,467","$3,772,157","Environment : Botanical Gardens, Parks, and Nature Centers ","$1,117,646",86.78,$0,"$4,858,212",UT,"$2,597,315"
96.00,"$712,171",Third Street Music School Settlement,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7600, '\r\n\t\t\tNew York,,"$187,500",2.65%,Executive Director,"$326,232",87.88,"$561,213","$16,218,206",Education : Youth Education Programs and Services ,"$422,515",90.97,$0,"$5,786,051",NY,"$2,576,791"
93.00,"$1,087,709",Think Small,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10063, '\r\n\t\t\tSt. Paul,,"$172,861",0.54%,"President, CEO","$1,228,604",85.00,"$346,125","$5,682,040",Human Services : Children's and Family Services ,"$2,581,356",88.29,$0,"$30,513,300",MN,"$30,081,488"
100.00,"$398,387",Thrive DC,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12703, '\r\n\t\t\tWashington,,"$115,000",3.99%,Executive Director,"$-137,875",86.17,"$77,158","$616,098",Human Services : Homeless Services ,"$-5,157",90.22,$0,"$2,401,010",DC,"$2,743,837"
89.00,"$330,792",Thomas Irvine Dodge Nature Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5345, '\r\n\t\t\tWest St. Paul,,"$90,964",3.67%,Executive Director,"$-136,405",89.97,"$155,252","$19,462,614","Environment : Botanical Gardens, Parks, and Nature Centers ","$471,272",89.47,$0,"$1,990,792",MN,"$717,200"
89.00,"$294,809",Thomasville Center for the Arts,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15846, '\r\n\t\t\tThomasville,,"$92,576",5.60%,Executive Director,"$-40,901",83.77,"$100,786","$2,167,809","Arts, Culture, Humanities : Performing Arts ","$119,240",86.13,$0,"$1,256,822",GA,"$1,070,017"
89.00,"$108,879",Thermal Belt Outreach Ministry,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15834, ' Columbus,,None reported\r\n                 ,--\r\n                 ,,"$-37,480",84.63,"$94,477","$1,299,973","Human Services : Food Banks, Food Pantries, and Food Distribution ","$27,821",86.63,$0,"$1,069,007",NC,"$1,207,062"
100.00,"$483,807",Theodore Roosevelt Conservation Partnership,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14159, ' Washington,,"$214,355",5.04%,"President, CEO","$-995,822",86.08,"$442,682","$2,251,624",Environment : Environmental Protection and Conservation ,"$411,509",90.15,$0,"$3,323,580",DC,"$2,842,738"
81.00,"$132,842",There With Care,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17378, ' Boulder,,"$98,918",5.43%,Executive Director,"$133,602",83.32,"$426,413","$1,605,068",Health : Patient and Family Support ,"$402,975",82.12,$0,"$1,259,644",CO,"$1,549,526"
85.00,"$178,325",Theological Book Network,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15068, '\r\n\t\t\tGrand Rapids,,"$109,998",5.06%,Executive Director,"$-118,814",83.53,"$112,226","$191,430",Religion : Religious Activities ,"$108,278",84.24,$0,"$1,881,675",MI,"$1,945,134"
81.00,"$283,195",Thelonious Monk Institute of Jazz,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16476, ' Washington,,"$300,000",4.81%,President,"$-69,073",92.50,"$231,928","$1,971,569","Arts, Culture, Humanities : Performing Arts ","$23,283",85.55,$0,"$5,714,769",DC,"$6,137,536"
89.00,"$1,106,858",Theatre Under The Stars,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6345, ' Houston,,"$338,787",1.64%,"President, CEO","$1,886,962",83.40,"$1,482,726","$9,277,195","Arts, Culture, Humanities : Performing Arts ","$-72,019",85.91,$0,"$18,033,252",TX,"$8,160,658"
89.00,"$693,024",TheatreWorks,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7441, '\r\n\t\t\tPalo Alto,,"$145,799",1.96%,Managing Director,"$115,630",69.51,"$610,280","$2,363,315","Arts, Culture, Humanities : Performing Arts ","$70,441",77.08,$0,"$6,121,387",CA,"$3,371,904"
89.00,"$193,551",Theatre Bay Area,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15970, ' San Francisco,,"$89,150",7.86%,Executive Director,"$-143,924",73.00,"$143,827","$211,234","Arts, Culture, Humanities : Performing Arts ","$41,986",79.38,$0,"$796,646",CA,"$563,344"
89.00,"$826,747",Theatre for a New Audience,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8932, ' New York,,"$284,304",4.32%,"President, Artistic Director, Founder","$-1,750,652",93.28,"$794,868","$16,586,698","Arts, Culture, Humanities : Performing Arts ","$224,177",90.88,$0,"$4,944,744",NY,"$3,199,659"
89.00,"$597,648",Theatre Communications Group,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6036, ' New York,,"$265,360",3.10%,Executive Director,"$226,427",84.06,"$687,249","$9,474,324","Arts, Culture, Humanities : Performing Arts ","$1,180,232",86.30,$0,"$7,261,972",NY,"$4,174,066"
31.00,"$252,878",The Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16517, '\r\n\t\t\tPotrero,,"$65,415",3.57%,President,"$246,449",83.31,"$104,607","$560,448",Religion : Religious Activities ,$0,49.80,$0,"$1,470,915",CA,"$1,346,429"
100.00,"$165,136",The Women's Center of Tarrant County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13676, '\r\n\t\t\tFort Worth,,"$105,808",2.44%,"President, Chief Executive Officer","$135,754",100.00,"$172,041","$10,666,326",Human Services : Social Services ,"$464,107",100.00,$0,"$3,982,868",TX,"$3,882,626"
78.00,"$39,632",The Woodson Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8429, ' Washington,,"$312,361",5.55%,President,"$722,889",95.00,"$61,674","$2,186,142","Community Development : Housing and Neighborhood Development , ","$4,720",84.04,$0,"$5,519,871",DC,"$6,339,346"
92.00,"$269,410",The Lark,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17460, ' New York,,"$67,840",4.15%,Artistic Director,"$42,448",83.36,"$173,791","$2,034,358","Arts, Culture, Humanities : Performing Arts ","$1,575",86.94,$0,"$1,189,063",NY,"$1,631,715"
85.00,"$133,791","The Korean-American Family Service Center, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17523, '\r\n\t\t\tFlushing,,"$29,197",1.49%,Interim Executive Director,"$-47,559",96.70,"$184,351","$2,204,107",Human Services : Children's and Family Services ,"$-74,747",89.13,$0,"$1,633,280",NY,"$998,785"
82.00,"$189,785",The Guardsmen,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15963, '\r\n\t\t\tSan Francisco,,None reported\r\n                 ,--\r\n                 ,,"$-7,715",96.18,"$111,576","$4,499,979",Education : Scholarship and Financial Support ,"$318,902",86.98,$0,"$1,625,526",CA,"$1,600,270"
100.00,"$79,473",The Foundation for Oklahoma City Public Schools,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15909, ' Oklahoma City,,"$43,811",5.59%,CEO,"$210,579",85.00,"$43,951","$1,763,840",Education : Scholarship and Financial Support ,"$50,676",89.39,$0,"$660,043",OK,"$943,370"
82.00,"$536,738",The Filson Historical Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15152, '\r\n\t\t\tLouisville,,"$53,829",2.28%,"President, CEO","$531,735",81.98,"$359,933","$37,309,224","Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ","$991,415",81.98,$0,"$1,462,257",KY,"$1,676,236"
89.00,"$4,360,907","The Children's Clinic, Serving Children and Their Families",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8783, ' Long Beach,,"$230,515",0.78%,CEO,"$1,375,168",94.60,"$490,994","$19,992,789",Health : Treatment and Prevention Services ,"$7,569",91.33,$0,"$24,486,072",CA,"$7,854,119"
96.00,"$258,113","The Family Radio Network, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14262, '\r\n\t\t\tAppleton,,"$44,615",2.94%,CEO,"$106,066",90.94,"$149,151","$1,857,902",Religion : Religious Media and Broadcasting ,"$3,930",92.99,$0,"$1,105,913",WI,"$893,875"
89.00,"$304,169",The THANC Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12953, ' New York,,"$172,963",8.72%,Executive Director,"$-226,379",85.34,"$227,234","$3,714,961",Health : Medical Research ,"$73,431",87.04,$0,"$1,449,935",NY,"$1,681,528"
100.00,"$119,350",Thanks USA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13382, ' McLean,,"$113,300",7.95%,Executive Director,"$87,750",82.50,"$44,594","$1,092,176",Education : Scholarship and Financial Support ,"$-73,613",87.62,$0,"$1,260,976",VA,"$1,586,283"
77.00,"$764,341",Texas Tech Alumni Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15414, ' Lubbock,,"$148,235",3.73%,Executive Vice President,"$-554,489",62.77,"$932,589","$9,503,695",Education : Scholarship and Financial Support ,"$539,455",69.05,$0,"$2,273,230",TX,"$2,210,754"
93.00,"$213,600",Texas State Historical Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15398, ' Austin,,"$127,902",4.46%,CEO,"$-1,158,005",80.44,"$290,823","$2,749,019","Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation ","$303,377",85.30,$0,"$2,357,541",TX,"$1,219,349"
93.00,"$1,353,138","TGR Foundation, A Tiger Woods Charity",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13364, ' Irvine,,"$145,350",1.42%,"President, CEO","$-994,153",90.22,"$1,021,073","$91,901,025","Human Services : Youth Development, Shelter, and Crisis Services ","$2,388,283",91.49,$0,"$7,801,921",CA,"$6,760,534"
89.00,"$4,758,841",The Centers for Families and Children,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3449, '\r\n\t\t\tCleveland,,"$233,843",0.61%,President & CEO,"$679,986",92.50,"$570,077","$37,385,888",Human Services : Children's and Family Services ,"$2,752,251",90.58,$0,"$32,526,209",OH,"$14,920,700"
92.00,"$1,639,618",Texas State Aquarium,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6073, '\r\n\t\t\tCorpus Christi,,"$331,206",2.40%,President,"$9,998,982",90.66,"$1,707,325","$56,755,375",Animals : Zoos and Aquariums ,"$4,055,972",91.30,$0,"$10,423,964",TX,"$13,388,952"
100.00,"$346,675",Texas Public Radio,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8373, ' San Antonio,,"$239,199",5.22%,Executive Director,"$159,121",92.99,"$782,699","$2,775,358","Arts, Culture, Humanities : Public Broadcasting and Media ","$139,011",95.04,$0,"$3,444,869",TX,"$4,594,353"
89.00,"$428,935",Texas Public Policy Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10105, '\r\n\t\t\tAustin,,"$352,099",4.83%,"President, CEO","$3,535,795",86.75,"$857,920","$4,298,827",Research and Public Policy : Social and Public Policy Research ,"$9,406",87.82,$0,"$5,999,148",TX,"$10,658,748"
93.00,"$161,048",Texas Parks and Wildlife Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5685, '\r\n\t\t\tDallas,,"$184,320",2.95%,Executive Director,"$11,575,067",100.00,"$95,856","$78,455,608",Environment : Environmental Protection and Conservation ,"$478,386",95.05,$0,"$5,984,353",TX,"$16,926,709"
100.00,"$697,017",Texas Lions Camp,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7293, '\r\n\t\t\tKerrville,,"$100,532",3.44%,Chief Executive Officer,"$1,281,173",88.29,"$73,769","$28,943,156",Health : Patient and Family Support ,"$1,134,620",91.71,$0,"$2,149,970",TX,"$2,855,368"
85.00,"$18,146,229",Texas Heart Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4523, '\r\n\t\t\tHouston,,"$404,669",1.04%,CEO,"$-5,364,762",70.94,"$3,662,832","$96,194,012",Health : Medical Research ,"$3,161,505",76.87,$0,"$17,004,784",TX,"$29,598,062"
89.00,"$210,332",Texas Defender Service,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17112, ' Austin,,"$104,477",3.88%,Executive Director,"$1,646,106",98.07,"$151,806","$4,081,799",Human and Civil Rights : Advocacy and Education ,"$-2,020",92.10,$0,"$2,324,875",TX,"$3,661,671"
89.00,"$245,675",Texas Health Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17406, ' Austin,,"$203,634",8.79%,"President, CEO","$-191,651",79.00,"$143,220","$1,010,097",Research and Public Policy : Social and Public Policy Research ,"$17,229",83.23,$0,"$1,925,392",TX,"$1,905,092"
92.00,"$256,849",Texas Civil Rights Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15920, '\r\n\t\t\tAustin,,"$100,833",4.57%,Executive Director,"$-78,288",94.12,"$57,872","$2,332,963",Human and Civil Rights : Advocacy and Education ,"$76,103",92.97,$216,"$1,890,730",TX,"$1,854,390"
85.00,"$952,714",Texas Ballet Theater,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15216, '\r\n\t\t\tFort Worth,,"$120,962",1.41%,Interim Managing Director,"$-218,782",80.67,"$360,255","$1,373,602","Arts, Culture, Humanities : Performing Arts ","$-91,496",82.69,$0,"$7,233,843",TX,"$3,716,645"
92.00,"$1,305,784",Teton Science Schools,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7897, '\r\n\t\t\tJackson,,"$51,865",0.35%,Executive Director,"$-158,291",94.66,"$670,211","$48,141,649",Environment : Environmental Protection and Conservation ,"$719,763",93.19,$0,"$12,491,323",WY,"$3,206,817"
100.00,"$473,849",Tenacity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14995, ' Boston,,"$353,470",6.89%,President,"$-1,335,478",89.47,"$848,023","$2,668,982",Education : Youth Education Programs and Services ,"$474,386",92.55,$0,"$3,805,699",MA,"$3,317,707"
85.00,"$102,641",Texas Cultural Trust,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16526, ' Austin,,None reported\r\n                 ,--\r\n                 ,,"$181,204",100.00,"$49,833","$4,830,321","Arts, Culture, Humanities : Performing Arts ","$55,375",89.39,$0,"$2,063,388",TX,"$2,041,631"
100.00,"$54,262",Teen Parent Connection,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11734, '\r\n\t\t\tGlen Ellyn,,"$81,732",7.84%,Executive Director,"$261,785",85.00,"$88,450","$1,346,171",Human Services : Children's and Family Services ,"$45,726",89.39,$0,"$898,464",IL,"$1,245,610"
92.00,"$348,233",Tender Mercies,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15250, '\r\n\t\t\tCincinnati,,"$99,234",3.23%,Chief Executive Officer,"$-41,465",92.21,"$185,320","$5,738,861",Human Services : Homeless Services ,"$53,993",92.10,$0,"$2,531,076",OH,"$2,831,757"
96.00,"$1,602,975",Tennyson Center for Children,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12597, '\r\n\t\t\tDenver,,"$132,079",1.17%,CEO and President,"$1,017,167",95.30,"$737,114","$14,426,933","Human Services : Youth Development, Shelter, and Crisis Services ","$-28,930",95.63,$0,"$8,898,933",CO,"$5,182,696"
85.00,"$954,959",Telfair Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8681, '\r\n\t\t\tSavannah,,"$202,517",3.38%,CEO,"$-574,685",88.82,"$471,298","$49,499,108","Arts, Culture, Humanities : Museums ","$1,992,611",86.77,$0,"$4,555,350",GA,"$1,934,298"
58.00,"$303,611",Teen Missions International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8108, '\r\n\t\t\tMerritt Island,,"$13,835",0.31%,President,"$-401,807",100.00,"$38,322","$5,056,398",Religion : Religious Activities ,"$709,236",70.30,$0,"$4,056,324",FL,"$3,287,214"
85.00,"$97,120",Teen Challenge of the Mid-South,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8487, '\r\n\t\t\tChattanooga,,"$72,866",5.30%,Executive Director,"$-128,409",87.27,"$112,664","$4,082,752",Health : Treatment and Prevention Services ,"$42,542",86.08,$0,"$1,163,331",TN,"$952,041"
