Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2018,Karsh Family Foundation (Bruce and Martha Karsh),California,Finance,U. of Virginia Law School (Charlottesville),Virginia,Colleges and universities,Pledge,"$25,000,000 "
2018,Anonymous,,,"Say Yes to Education (Buffalo, N.Y.)",New York,Education,GiftChallenge,"$25,000,000 "
2018,Bertie Deming Smith,Louisiana,"Health care, Media and entertainment","Mary Baldwin University (Staunton, Va.)",Virginia,Colleges and universities,Pledge,"$25,000,000 "
2018,Bay Branch Foundation (Elaine Wold),Florida,Family wealth,Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,"$25,000,000 "
2018,Thomas O'Malley,New Jersey,Energy,Manhattan College (New York),New York,Colleges and universities,Gift,"$25,000,000 "
2018,Thomas O'Malley,New Jersey,Energy,Manhattan College (New York),New York,Colleges and universities,Gift,"$25,000,000 "
2018,Anonymous,,,Bryn Mawr College (Pa.),Pennsylvania,Colleges and universities,Gift,"$25,000,000 "
2018,James and Susan Shallcross Swartz,Utah,"Investments, Technology","Harvard Divinity School (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$25,000,000 "
2018,Stephen Schwarzman,New York,Finance,Foundation for Abington School District (Pa.),Pennsylvania,Education,Gift,"$25,000,000 "
2018,Fayez and Susan Sarofim,Texas,Finance,Memorial Hermann Healthcare System (Houston),Texas,Health,Gift,"$25,000,000 "
2018,Mays Family Foundation (Lester (Lowry) and Peggy Mays),Texas,Media and entertainment,U. of Texas Health San Antonio,Texas,Colleges and universities,Gift,"$25,000,000 "
2018,Kenneth Freeman,Massachusetts,"Education, Finance","Bucknell U. (Lewisburg, Pa.)",Pennsylvania,Colleges and universities,Gift,"$25,000,000 "
2018,Patel Family Foundation (Kiran and Pallavi Patel),Florida,"Health care, Insurance","Nova Southeastern U. (Ft. Lauderdale, Fla.)",Florida,Colleges and universities,Gift,"$25,000,000 "
2018,Anonymous,,,Lipscomb U. (Nashville),Tennessee,Colleges and universities,Gift,"$23,000,000 "
2018,John and Charlene Kopchick,Ohio,"Education, Pharmaceuticals",Indiana U. of Pennsylvania,Pennsylvania,Colleges and universities,Gift,"$23,000,000 "
2018,Oprah Winfrey,Illinois,Media and entertainment,"Oprah Winfrey Charitable Foundation (West Hollywood, Calif.)",California,Foundations,Gift,"$22,500,000 "
2018,Dean Buntrock,Minnesota,Industry,Luther Seminary (St. Paul),Minnesota,Colleges and universities,Gift,"$21,400,000 "
2018,Barry Gossett,,Construction,U. of Maryland at College Park,Maryland,Colleges and universities,Gift,"$21,250,000 "
2018,Charles Munger,California,Investments,Good Samaritan Hospital (Los Angeles),California,Health,Gift,"$21,000,000 "
2018,JSM Charitable Trust (James S. McDonnell III and Elizabeth Hall McDonnell),Missouri,"Family wealth, Manufacturing",Municipal Theatre Association of St. Louis,Missouri,Arts,Pledge,"$20,000,000 "
